"","topic","term","beta"
"158",16,"business",0.00831805307542654
"159",16,"financial",0.00799846598195132
"160",16,"directors",0.00792655888591939
"161",17,"customer",0.00893122559137326
"162",17,"energy",0.00825726166047864
"163",17,"programme",0.00813691095853316
"164",17,"customers",0.00710189492180213
"165",17,"digital",0.00698154421985666
"166",17,"management",0.00680101816693846
"167",17,"people",0.00659642197363116
"168",17,"community",0.00582617748118016
"169",17,"mobile",0.00580210734079106
"170",17,"climate",0.00575396706001288
