Company,Year,ROA,zmijewski_t,MV_t4,BV_t,EARN_t,NEG_t,sentiment,words,pages,flesch,t_Community,t_Resources,t_Customers,t_Employees,t_Metholodgy,t_Governance,t_Climate,w_Community,w_Resources,w_Customers,w_Employees,w_Metholodgy,w_Governance,w_Climate
DBS GROUP HOLDINGS LTD,2021,0.00991877,0.820506372,88142.0233,57526,6805,0,18.85808511,48656,95,3.83535606,0.125464238,0.104835393,0.132492206,0.090198518,0.124979331,0.144448126,0.277582189,6104.587978,5100.870864,6446.540756,4388.699097,6080.994316,7028.268005,13506.03899
FRASERS LOGISTICS & COMMERCIAL TRUST,2017,0.049401384,-2.717909391,1732.50382,1422.6243,103.8457,0,16.02772727,6576,23,11.84308283,0.118502874,0.16527432,0.103347593,0.139223878,0.151281,0.161450145,0.16092019,779.2748968,1086.84393,679.6137721,915.5362226,994.8238586,1061.696151,1058.211169
FRASERS LOGISTICS & COMMERCIAL TRUST,2018,0.059670845,-2.490257698,2175.03144,1921.6446,182.6261,0,18.5628,8962,27,-0.577091585,0.116619088,0.198130281,0.087980069,0.173420353,0.145401235,0.127039801,0.151409173,1044.907032,1775.247318,788.3014207,1553.84636,1302.795063,1138.276621,1356.626187
FRASERS LOGISTICS & COMMERCIAL TRUST,2019,0.060667795,-2.505917204,2743.64946,2112.306,203.425,0,15.18695652,7402,23,10.14941403,0.109960068,0.168863647,0.084647034,0.174067142,0.163746996,0.136374963,0.16234015,813.9244267,1249.928714,626.5573454,1288.444986,1212.055262,1009.447473,1201.641793
FRASERS LOGISTICS & COMMERCIAL TRUST,2020,0.067519797,-2.169927758,4880.9046,3806.677,454.722,0,19.50742857,16054,38,6.787262099,0.079130235,0.218181963,0.086898928,0.128791815,0.1837252,0.130590554,0.172681305,1270.356796,3502.693233,1395.075383,2067.623805,2949.524354,2096.500758,2772.225671
FRASERS LOGISTICS & COMMERCIAL TRUST,2021,0.095193887,-2.500391395,5110.2238,4619.455,731.106,0,19.50742857,16054,38,6.787262099,0.074621379,0.215643399,0.082310384,0.131967961,0.182619402,0.132726414,0.18011106,1197.971622,3461.939126,1321.41091,2118.613652,2931.771886,2130.789855,2891.50295
GENTING SINGAPORE LIMITED,2015,0.016052509,-3.238504112,9781.51264,9625.75,193.061,0,17.20735294,18837,35,14.96805646,0.130191253,0.125629654,0.232301392,0.130314654,0.179495995,0.143092273,0.058974778,2452.022063,2366.108903,4375.164414,2454.346195,3380.627579,2694.999878,1110.730969
GENTING SINGAPORE LIMITED,2016,0.033595724,-3.50005289,13456.10112,9530.261,384.547,0,18.8805,23658,41,14.51770396,0.150754143,0.140896718,0.226479809,0.127503779,0.153881512,0.131736512,0.068747528,3566.541506,3333.334562,5358.059314,3016.484396,3640.528802,3116.622408,1626.429011
GENTING SINGAPORE LIMITED,2017,0.071361238,-3.358961865,14206.2973,7441.558,685.555,0,11.45329114,24543,80,4.31624062,0.155406599,0.137716993,0.213571636,0.132894407,0.144374542,0.134482774,0.081553049,3813.677937,3379.575009,5241.047945,3261.22875,3542.951252,3300.20728,2001.311827
GENTING SINGAPORE LIMITED,2018,0.077340229,-3.50943371,11670.73606,7781.345,755.393,0,9.199878049,21528,88,3.963975977,0.163922258,0.157122372,0.197407119,0.118606827,0.146111865,0.133158821,0.083670739,3528.918361,3382.530426,4249.780468,2553.367761,3145.496224,2866.643089,1801.26367
GENTING SINGAPORE LIMITED,2019,0.074443048,-3.916338866,9070.52025,8057.589,688.604,0,10.11059701,16775,70,5.464794965,0.165511417,0.152013568,0.176446898,0.130702861,0.130300674,0.152485426,0.092539157,2776.45402,2550.027608,2959.896706,2192.540495,2185.793804,2557.943013,1552.344353
GENTING SINGAPORE LIMITED,2020,0.007879441,-3.720981144,10461.33336,7835.56,69.241,0,10.72268657,17807,70,11.35094401,0.141137878,0.139629119,0.22590101,0.128486137,0.130274644,0.139447459,0.095123753,2513.242195,2486.375728,4022.619277,2287.952647,2319.80058,2483.1409,1693.868673
GENTING SINGAPORE LIMITED,2021,0.020853795,-3.830424329,9796.16187,7895.135,183.345,0,23.98577465,33464,71,-2.249747814,0.156982028,0.14173134,0.17668964,0.103472799,0.115851757,0.145143024,0.160129412,5253.246586,4742.897557,5912.742118,3462.613754,3876.863185,4857.066164,5358.570636
HONGKONG LAND HOLDINGS LIMITED,2015,0.056783645,-3.647687328,15175.56,40649.5135,2765.8577,0,21.924375,7113,17,10.59641869,0.173942143,0.298246663,0.143463553,0.134725785,0.065292625,0.088764396,0.095564835,1237.250461,2121.428511,1020.456256,958.3045114,464.4264383,631.3811487,679.7526745
HONGKONG LAND HOLDINGS LIMITED,2016,0.086419231,-3.848930079,18163.616,45276.7379,4620.4958,0,22.80416667,6358,14,19.48161498,0.187906583,0.26488886,0.176412466,0.116373355,0.054502256,0.111153904,0.088762575,1194.710056,1684.163371,1121.63046,739.9017888,346.5253461,706.7165235,564.3524548
HONGKONG LAND HOLDINGS LIMITED,2017,0.135365639,-4.146369502,17104.856,49242.7499,7751.0289,0,24.61571429,6722,16,8.287244986,0.200464396,0.218514421,0.166515725,0.117738519,0.064371372,0.128755003,0.103640564,1347.521672,1468.853937,1119.318701,791.4383237,432.7043619,865.4911314,696.6718732
HONGKONG LAND HOLDINGS LIMITED,2018,0.054091496,-3.739755636,16500.673,52259.4645,3314.974,0,30.3775,12422,22,-3.137989116,0.131076837,0.236224991,0.110418059,0.157325337,0.128585814,0.120997419,0.115371543,1628.236465,2934.386843,1371.613128,1954.295336,1597.292983,1503.029933,1433.145312
HONGKONG LAND HOLDINGS LIMITED,2019,0.004438291,-3.473934913,9685.685,51426.6473,270.0945,0,16.33213115,21144,63,-11.89254713,0.111897065,0.196151252,0.099359405,0.158566728,0.208174908,0.123165138,0.102685505,2365.951537,4147.422071,2100.855258,3352.734888,4401.650244,2604.203685,2171.182316
HONGKONG LAND HOLDINGS LIMITED,2020,-0.062432728,-2.952309024,11552.805,47182.4338,-3651.2605,1,14.86361446,28688,84,-8.954362734,0.123122789,0.191843157,0.10979684,0.156792455,0.155493378,0.129936944,0.133014438,3532.146573,5503.596482,3149.851752,4498.061938,4460.794017,3727.631046,3815.918193
HONGKONG LAND HOLDINGS LIMITED,2021,-0.007938862,-3.096524327,10775.275,46605.1289,-469.2601,1,14.17351852,41923,164,-6.728773376,0.140137507,0.165332747,0.135645891,0.150420995,0.138220249,0.120584363,0.149658248,5874.984707,6931.244747,5686.682696,6306.099365,5794.607493,5055.25824,6274.122751
JARDINE CYCLE & CARRIAGE LTD,2015,0.03396382,-1.891783951,15022.93097,7320.8803,949.7711,0,54.96,1284,1,14.54785628,0.687253067,0.026408817,0.054065294,0.099189021,0.026408817,0.032231233,0.074443751,882.4329382,33.90892077,69.4198378,127.3587024,33.90892077,41.38490331,95.58577667
JARDINE CYCLE & CARRIAGE LTD,2016,0.031017731,-1.968443724,19050.39006,8325.7553,968.8916,0,54.9,1172,1,19.30440541,0.626232515,0.051593671,0.045173125,0.098142628,0.024306352,0.058014217,0.096537491,733.9445081,60.46778262,52.942903,115.0231598,28.48704426,67.99266223,113.1419399
JARDINE CYCLE & CARRIAGE LTD,2017,0.038086889,-1.812722979,13457.79562,8565.2001,1296.1873,0,8.1225,13625,44,13.55474235,0.117242523,0.093805384,0.092245453,0.16975188,0.159359263,0.246460297,0.1211352,1595.319013,1276.409867,1255.18388,2309.813827,2168.401488,3353.585256,1648.286669
JARDINE CYCLE & CARRIAGE LTD,2018,0.015130135,-1.52451556,14042.74534,8373.9994,563.4012,0,8.952291667,17403,52,8.751505878,0.102420315,0.095179381,0.096292754,0.174964583,0.152362402,0.253480665,0.1252999,1778.221507,1652.504408,1671.834795,3037.735093,2645.316025,4400.931307,2175.456865
JARDINE CYCLE & CARRIAGE LTD,2019,0.030757395,-1.718381721,7715.012576,9224.0905,1202.3296,0,13.76848485,11709,35,5.688357693,0.140171423,0.066447374,0.066571722,0.184616374,0.189530031,0.200276117,0.15238696,1640.285988,777.5671718,779.0222859,2160.380806,2217.880427,2343.631117,1783.232203
JARDINE CYCLE & CARRIAGE LTD,2020,0.020498943,-1.904010374,9157.625071,9214.8783,745.1749,0,15.32972222,13131,38,6.693380361,0.152369449,0.049233833,0.080129534,0.180097471,0.186103058,0.205707843,0.146358813,1999.696649,646.1448182,1051.620004,2363.599207,2442.416528,2699.709737,1920.813057
JARDINE CYCLE & CARRIAGE LTD,2021,0.022673341,-1.957810909,11347.23378,9929.3863,887.724,0,13.24428571,20420,51,4.640636666,0.126171518,0.11957965,0.07216802,0.161350387,0.160912397,0.212303682,0.147514345,2575.539204,2440.979396,1473.1658,3293.645448,3284.70476,4333.75506,3011.210332
JARDINE MATHESON HLDGS LTD,2015,0.026214825,-2.65089567,16677,28180.4506,2473.4195,0,26.095,923,2,17.04341238,0.54491409,0.038041013,0.084916259,0.124900358,0.058569899,0.06787681,0.080781571,502.9557054,35.11185525,78.37770667,115.2830303,54.06001714,62.65029527,74.56139
JARDINE MATHESON HLDGS LTD,2016,0.033561586,-2.776615116,19813.64062,31561.942,3456.0861,0,32.64,888,2,14.07160354,0.562416677,0.056546468,0.054779054,0.103510326,0.053137935,0.08512051,0.08448903,499.426009,50.21326319,48.64379959,91.91716971,47.18648672,75.58701276,75.02625905
JARDINE MATHESON HLDGS LTD,2017,0.04929087,-2.844731781,18694.5,34295.8194,5444.0419,0,25.62,863,2,12.93912197,0.549426417,0.058085126,0.073471787,0.123404201,0.048572391,0.062013449,0.08502663,474.1549979,50.12746346,63.40615198,106.4978251,41.9179736,53.51760668,73.3779813
JARDINE MATHESON HLDGS LTD,2018,0.018907271,-2.442280105,25069.80114,35532.047,2323.2205,0,18.74,825,2,27.77118746,0.483597696,0.157784784,0.078044916,0.070432373,0.039948684,0.066984047,0.103207499,398.9680994,130.1724472,64.3870559,58.10670807,32.9576646,55.26183851,85.14618634
JARDINE MATHESON HLDGS LTD,2019,0.029673769,-2.594645873,16309.15963,40809.9546,3871.3541,0,38.13,1360,2,14.41978537,0.574495622,0.099348255,0.085123241,0.075949523,0.028714064,0.047465348,0.088903947,781.3140463,135.1136273,115.7676077,103.2913508,39.05112729,64.5528731,120.9093675
JARDINE MATHESON HLDGS LTD,2020,-0.004397296,-2.447670975,24298.90928,38829.0431,-543.3998,1,25.46916667,5975,12,5.723468113,0.265565096,0.077762089,0.106287999,0.065641081,0.065942171,0.152243339,0.266558225,1586.751447,464.6284844,635.0707937,392.2054596,394.0044706,909.6539531,1592.685392
JARDINE MATHESON HLDGS LTD,2021,0.020502099,-2.367457315,21524.23,40132.8756,2527.7156,0,13.96333333,1552,6,-6.925479381,0.107645582,0.059700737,0.077089791,0.075078161,0.105336741,0.24324434,0.331904648,167.0659434,92.65554369,119.6433556,116.5213054,163.4826213,377.5152161,515.1160145
KEPPEL CORPORATION LIMITED,2015,0.052716747,-1.229215,9689.63752,11095.661,1524.6,0,19.40105263,40861,96,-1.225175612,0.128103234,0.138598797,0.085224255,0.154721584,0.118154278,0.219929374,0.155268477,5234.426229,5663.285444,3482.348279,6322.07865,4827.901974,8986.534171,6344.425254
KEPPEL CORPORATION LIMITED,2016,0.026814527,-1.166786355,11820.06183,11658.949,783.9,0,20.32070707,43207,101,6.857625692,0.137943015,0.142012551,0.07927108,0.149187819,0.107839654,0.224169219,0.159576662,5960.103853,6135.936283,3425.065572,6445.958106,4659.427911,9685.679429,6894.828846
KEPPEL CORPORATION LIMITED,2017,0.006832697,-1.051971927,14873.88541,11442.734,196,0,22.154,46647,96,9.697813939,0.129520004,0.138786952,0.074620703,0.144018423,0.109379057,0.243512766,0.160162094,6041.719642,6473.994936,3480.831945,6718.027394,5102.204884,11359.13999,7471.081206
KEPPEL CORPORATION LIMITED,2018,0.035670773,-1.284107189,12234.09218,11267.762,948.4,0,21.44202247,45317,91,8.375537634,0.116604953,0.128663116,0.085635453,0.13758708,0.120670481,0.252811688,0.15802723,5284.18667,5830.626419,3880.741806,6235.033704,5468.424171,11456.66725,7161.319978
KEPPEL CORPORATION LIMITED,2019,0.022572311,-0.865656044,10498.67293,11210.853,707,0,20.43435294,48075,86,7.26061743,0.107371303,0.136618181,0.074633168,0.135378311,0.135386291,0.259164781,0.151447965,5161.875407,6567.919071,3587.989545,6508.312278,6508.695923,12459.34687,7280.860906
KEPPEL CORPORATION LIMITED,2020,-0.015757239,-0.554420962,9958.451166,10728.458,-505.9,1,22.03547368,55625,97,7.458641166,0.114091158,0.13033134,0.091917958,0.147934174,0.120766073,0.238393732,0.156565564,6346.320686,7249.680807,5112.936427,8228.838435,6717.612806,13260.65132,8708.959524
KEPPEL CORPORATION LIMITED,2021,0.031745269,-0.981194491,12543.64324,12056.661,1026.1,0,22.15831776,64200,108,7.58988679,0.101506738,0.1534405,0.088444664,0.142357963,0.105276718,0.235060296,0.173913121,6516.732551,9850.880091,5678.147461,9139.381236,6758.765293,15090.87103,11165.22234
KEPPEL DC REIT,2015,0.086197572,-2.85325681,966.2049018,813.488,104.4,0,26.3925,1393,4,7.744676238,0.188209562,0.087912015,0.079086361,0.145288372,0.08104939,0.238280511,0.180173789,262.1759195,122.4614375,110.1673012,202.3867022,112.9018002,331.9247512,250.9820882
KEPPEL DC REIT,2016,0.032154158,-2.616101314,1394.318017,1073.868,50.9,0,14.9625,7277,20,0.87566047,0.079049714,0.120084365,0.09340266,0.195152846,0.207739803,0.198704304,0.105866307,575.2447692,873.8539221,679.6911599,1420.127263,1511.722548,1445.971224,770.3891143
KEPPEL DC REIT,2017,0.036976502,-2.406408178,1599.501672,1116.502,65.2,0,22.336875,7973,16,5.311566483,0.093878741,0.135645482,0.098013438,0.169013458,0.19717609,0.196494196,0.109778596,748.4951995,1081.501427,781.4611393,1347.544302,1572.084967,1566.648221,875.2647437
KEPPEL DC REIT,2018,0.062811401,-2.646104324,2039.504615,1475.994,141.9,0,16.4347619,9194,21,3.560206688,0.074167056,0.128202635,0.079473422,0.158503639,0.230082387,0.236643694,0.092927167,681.8919109,1178.695028,730.6786389,1457.282461,2115.377462,2175.702126,854.3723735
KEPPEL DC REIT,2019,0.036373025,-2.500890897,3819.805236,1902.548,106.5,0,22.06789474,9437,19,9.73995965,0.085375601,0.115719402,0.090878693,0.1713613,0.219277198,0.215611408,0.101776398,805.6895495,1092.043998,857.6222253,1617.136584,2069.318918,2034.724854,960.4638707
KEPPEL DC REIT,2020,0.050211533,-2.238906481,4409.42562,1982.242,168.2,0,22.72782609,11791,23,10.67113982,0.098650606,0.128391124,0.092660993,0.159687689,0.204657179,0.208899961,0.107052448,1163.189293,1513.859744,1092.565769,1882.877546,2413.112794,2463.139441,1262.255414
KEPPEL DC REIT,2021,0.082986125,-2.535698377,3551.109633,2335.676,313.7,0,24.12857143,15511,28,5.411893761,0.090973808,0.152559338,0.096945926,0.152199964,0.161937357,0.211669823,0.133713784,1411.094736,2366.347884,1503.728261,2360.773647,2511.81035,3283.210621,2074.0345
